Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Is_Heavily_Polluted,Distance_to_Oil_Spill_km,Nearest_Oil_Spill_Gallons,Percent_Bleaching
18.707,-87.704,262.15,300.88,14.3,6,-0.34,171.862676,283.94,0,315.1867704,3450,55
20.8,-86.8,301.83,300.86,5.5,4,0.89,43.91594165,183.79,0,411.9546884,1000,55
25.462,-80.133,302.39,299.83,5.85,3,0.95,192.6872304,408.45,0,4.667362103,3000,55
17.762,-64.699,300.25,300.4,9,9,0.46,208.0214356,435.4,0,0.574732708,5000,55
18.707,-87.706,262.15,300.88,9.6,7,-1.32,171.9232501,283.94,0,315.1787829,3450,55.2
18.667,-87.717,262.15,300.88,4.75,6,-0.25,176.5163572,283.94,0,310.6921935,3450,55.6
18.675,-87.707,262.15,300.88,14.35,4,1.31,175.363378,283.94,0,311.6191017,3450,55.6
19.967,-87.453,262.15,300.81,8.8,3,0.32,33.6722716,283.94,0,456.6883114,3450,55.6
19.88,-87.412,302.32,300.83,20.1,3,0.16,38.9998464,283.94,0,447.4445553,3450,55.6
11.307,-60.632,300.18,300.42,12,6,-0.36,159.9909389,376.86,0,93.98858081,3450,55.6
17.786,-64.586,301.22,300.38,10.7,6,0.01,215.0582556,435.4,0,5.689687736,15,55.6
20.052,-87.466,301.38,300.78,6.1,4,0.71,28.72550292,283.94,0,465.9947565,3450,55.9
19.275,-81.349,301.03,301.11,12,3,-0.17,85.31985955,25.47,0,191.1906052,1000,56
15.262,-61.271,262.15,300.4,12.5,6,0.12,62.90496453,130.93,0,191.4456476,3450,56
18.707,-87.704,262.15,300.88,15,6,-0.24,171.862676,283.94,0,315.1867704,3450,56
11.193,-60.826,300.3,300.49,12,6,-1.23,184.2680989,376.86,0,70.56698973,3450,56
17.762,-64.699,300.25,300.4,9,9,0.46,208.0214356,435.4,0,0.574732708,5000,56
18.66,-87.709,262.15,300.87,10.1,7,-1.84,177.0229299,283.94,0,309.9444614,3450,56.3
19.967,-87.453,262.15,300.81,9.45,5,-0.15,33.6722716,283.94,0,456.6883114,3450,56.3
25.008,-80.424,300.9,299.8,4,7,0,225.7101836,408.45,0,6.440136159,800,56.3
18.681,-87.711,262.15,300.88,14.8,6,-0.34,174.8437682,283.94,0,312.2702504,3450,56.4
17.762,-64.566,301.2,300.38,9.4,6,0.02,213.4937173,435.4,0,7.314268649,15,56.4
23.71,-76.076,299.48,299.83,3.12,6,1.3,67.14814052,481.07,0,182.3697247,1550000,56.5
23.142,-82.491,301.59,300.65,10,8,-0.59,62.97164048,275.27,0,32.25149474,200000,56.6
11.199,-60.8,301.2,300.49,12,6,-0.65,181.3852191,376.86,0,72.85782445,3450,56.7
18.707,-87.704,262.15,300.88,15.4,6,-0.38,171.862676,283.94,0,315.1867704,3450,56.8
18.341,-65.082,301.24,300.41,8,6,-0.44,176.5523104,366.17,0,11.57515694,13000,56.8
18.263,-64.872,301.82,300.4,22,4,2.53,196.9170418,366.17,0,4.496808274,12,56.8
17.5,-87.758,301.16,300.97,11.25,9,-0.98,123.7077649,465.85,0,180.8554482,3450,56.9
23.831,-76.198,299.84,299.83,3.65,6,0.49,85.33947775,481.07,0,167.607386,1550000,57.1
20.051,-87.463,299.66,300.78,12.6,5,0.16,28.51775411,283.94,0,465.9092822,3450,57.1
20.051,-87.463,301.7,300.78,13.4,4,1.66,28.51775411,283.94,0,465.9092822,3450,57.1
18.687,-87.712,262.15,300.88,7.3,5,1.17,174.2349273,283.94,0,312.9331944,3450,57.1
18.634,-87.72,262.15,300.87,9.1,5,0.46,180.123595,283.94,0,307.0141326,3450,57.1
18.634,-87.719,262.15,300.87,9.85,4,1.1,180.0937913,283.94,0,307.0177018,3450,57.1
18.721,-87.691,300.28,300.88,8.2,7,-0.81,169.9806577,283.94,0,316.7974879,3450,57.1
18.718,-87.693,302.26,300.88,9.95,4,0.99,170.3601572,283.94,0,316.4553236,3450,57.1
18.685,-87.707,262.15,300.88,7.3,5,1.17,174.2971927,283.94,0,312.7302647,3450,57.1
17.785,-64.609,298.92,300.38,12,8,0.4,213.9842202,435.4,0,3.539073805,15,57.1
24.501,-81.632,299.78,299.82,2.2,8,2.13,192.3110756,275.27,0,6.154874789,5400000,57.1
17.785,-64.588,301.22,300.38,8.2,6,0.01,214.8710575,435.4,0,5.450968219,15,57.1
17.766,-64.628,301.24,300.38,4.9,6,0.56,211.2517633,435.4,0,0.749540658,15,57.2
18.279,-64.898,299.82,300.4,15,4,-0.14,193.8047967,366.17,0,3.801369597,12,57.4
-14.33,-170.5,302.17,301.39,8.5,4,-0.44,91.11518917,427.03,0,7.846981386,50000,57.5
24.536,-81.457,300.9,299.82,12.5,8,0.29,200.2759273,275.27,0,5.026654298,3450,57.6
17.888,-66.998,299.58,300.75,21.5,7,-0.12,147.91382,497.53,0,17.04918499,11500,57.7
18.318,-64.991,301.84,300.41,14,4,1.48,184.3228039,366.17,0,1.9811758,13000,57.8
18.707,-87.706,262.15,300.88,9.2,6,-0.34,171.9232501,283.94,0,315.1787829,3450,57.9
18.675,-87.708,262.15,300.88,11.35,7,-1.51,175.3932256,283.94,0,311.6151519,3450,57.9
20.038,-87.466,301.38,300.78,8.8,4,0.71,29.56953691,283.94,0,464.4431046,3450,57.9
11.194,-60.836,300.33,300.49,12,6,-1.15,185.2430557,376.86,0,69.99126266,3450,57.9
-4.6922,39.4094,300.64,300.18,1.38,5,0.55,135.5790248,271.47,0,1950.353369,3450,58
18.366,-64.805,299.76,300.36,10,4,0.27,192.9407946,366.17,0,6.238738537,1000,58
18.263,-64.872,301.82,300.4,22,4,2.53,196.9170418,366.17,0,4.496808274,12,58
18.386,-65.627,300.16,300.34,3,10,-0.14,145.7395404,366.17,0,16.40753388,462000,58
18.452,-64.53,301.04,300.24,2,6,-0.68,207.5811589,366.17,0,10.01472795,20000,58.1
18.681,-87.713,262.15,300.88,10,6,-0.34,174.9041992,283.94,0,312.2626924,3450,58.1
20.052,-87.466,299.31,300.78,5.05,5,-1.55,28.72550292,283.94,0,465.9947565,3450,58.3
18.724,-87.698,302.26,300.88,5.35,4,0.99,169.8705433,283.94,0,317.1003775,3450,58.3
20.015,-87.465,300.01,300.76,4.6,6,-0.57,30.99367697,283.94,0,461.90254,3450,58.3
19.967,-87.453,262.15,300.81,8.8,6,-1.19,33.6722716,283.94,0,456.6883114,3450,58.3
18.72,-87.699,262.15,300.88,9.45,7,-1.32,170.3268464,283.94,0,316.651749,3450,58.3
18.704,-87.704,262.15,300.88,10.4,4,0.91,172.1822523,283.94,0,314.8534301,3450,58.3
18.704,-87.704,262.15,300.88,6.55,7,-1.51,172.1822523,283.94,0,314.8534301,3450,58.3
18.704,-87.702,262.15,300.88,13.75,4,0.51,172.1220237,283.94,0,314.8615691,3450,58.3
18.634,-87.718,262.15,300.87,17.85,5,1.06,180.0640438,283.94,0,307.0213077,3450,58.3
17.785,-64.609,298.92,300.38,12,8,0.4,213.9842202,435.4,0,3.539073805,15,58.3
13.292,-59.663,301.88,300.51,11.5,5,2.41,172.288849,376.86,0,335.204847,3450,58.4
25.41,-80.157,302.48,299.91,2.4,3,0.22,194.9232921,408.45,0,3.455306563,3000,58.6
17.759,-64.565,301.2,300.38,7.9,6,0.02,213.2347733,435.4,0,7.442577091,15,58.7
23.831,-76.198,299.84,299.83,3.65,6,0.49,85.33947775,481.07,0,167.607386,1550000,58.8
20.017,-87.462,300.01,300.76,11.75,6,-0.57,30.60981799,283.94,0,462.1498334,3450,58.8
20.052,-87.466,302.15,300.78,6.4,3,1.45,28.72550292,283.94,0,465.9947565,3450,58.8
18.718,-87.693,301.31,300.88,10.8,4,0.36,170.3601572,283.94,0,316.4553236,3450,58.8
17.767,-64.583,301.22,300.38,11,6,0.01,213.256915,435.4,0,5.510878792,15,58.8
17.767,-64.828,300.34,300.48,13,3,0.29,204.0451594,435.4,0,3.939354385,3450,59
18.279,-64.898,301.82,300.4,15,4,2.53,193.8047967,366.17,0,3.801369597,12,59.1
18.072,-67.938,299.47,300.62,14,6,0.27,48.45629343,497.53,1,0.673651695,3450,59.2
17.766,-64.581,301.22,300.38,5.2,6,0.01,213.2421493,435.4,0,5.71927097,15,59.3
18.38,-64.711,298.81,300.31,5,8,0.62,198.7408647,366.17,0,5.301294735,1000,59.4
25.036,-80.403,302.47,299.81,3,4,0.13,223.065284,408.45,0,3.042299935,800,59.4
18.386,-64.485,298.82,300.3,20,8,0.33,215.9243609,366.17,0,3.860826887,20000,59.5
25.435,-80.136,302.43,299.83,4.05,3,0.67,192.8762689,408.45,0,1.953485663,3000,59.5
25.009,-80.447,300.9,299.8,3,7,0,227.9667782,408.45,0,7.372966109,800,59.5
23.831,-76.198,299.84,299.83,3.65,6,0.49,85.33947775,481.07,0,167.607386,1550000,60
17.5,-87.758,301.16,300.97,11.25,9,-0.98,123.7077649,465.85,0,180.8554482,3450,60
18.35,-64.61,298.98,300.29,10,7,-0.14,208.7317873,366.17,0,10.29352459,300,60
18.384,-64.735,299.01,300.31,5,7,0.35,196.6312204,366.17,0,4.19706378,1000,60
18.386,-64.485,299.04,300.3,20,7,-0.24,215.9243609,366.17,0,3.860826887,20000,60
18.357,-64.589,298.98,300.29,15,7,-0.14,209.8230408,366.17,0,10.8521604,3450,60
18.441,-64.548,262.15,300.25,5,7,0.33,206.9012798,366.17,0,11.07999646,20000,60
10.627,103.313,301.83,302.23,7,3,1.78,39.07010248,279.06,0,1931.120747,396000,60
9.807,-75.833,302.64,302.05,1.5,1,0.3,138.5079441,20.14,0,356.5507844,5880000,60
22.633,-78.646,300.18,300.25,8.5,7,-0.56,107.9298356,143.42,0,149.1229154,10290000,60
19.34,-69.499,301.3,300.33,5,6,0.36,64.69902871,321.05,0,36.69746273,3450,60
-18.159,178.399,262.15,299.75,6.75,5,1.07,107.4412502,478.49,0,1154.677139,3450,60
7.08,171.392,301.16,301.51,1,7,0.14,192.9469343,424.9,0,448.5932379,11610,60
7.158,171.069,301.08,301.55,2,7,-1.3,188.8312446,424.9,0,412.6524362,11610,60
-19.661,63.413,300.02,298.39,3,4,1.82,133.9494337,151.29,0,598.3338678,3450,60
20.017,-87.462,302.21,300.76,9,3,0.25,30.60981799,283.94,0,462.1498334,3450,60
18.707,-87.704,262.15,300.88,13.4,6,-0.38,171.862676,283.94,0,315.1867704,3450,60
18.707,-87.706,262.15,300.88,10.05,6,-0.34,171.9232501,283.94,0,315.1787829,3450,60
18.681,-87.713,262.15,300.88,8.95,4,0.51,174.9041992,283.94,0,312.2626924,3450,60
19.933,-87.432,301.57,300.81,18.6,4,1.57,35.16322338,283.94,0,453.1156603,3450,60
18.707,-87.707,262.15,300.88,5.95,4,1,171.953625,283.94,0,315.1748428,3450,60
20.05,-87.47,301.7,300.78,3.55,4,1.66,29.19794725,283.94,0,465.7396035,3450,60
18.667,-87.714,262.15,300.88,15.75,6,-0.25,176.4258691,283.94,0,310.7032076,3450,60
18.667,-87.714,262.15,300.88,15.95,6,-0.25,176.4258691,283.94,0,310.7032076,3450,60
18.667,-87.717,262.15,300.88,4.75,6,-0.25,176.5163572,283.94,0,310.6921935,3450,60
18.667,-87.717,262.15,300.88,5.75,6,-0.25,176.5163572,283.94,0,310.6921935,3450,60
19.883,-87.426,302.01,300.83,3.05,4,0.15,39.44161036,283.94,0,447.6373757,3450,60
18.634,-87.72,262.15,300.87,4.6,5,1.06,180.123595,283.94,0,307.0141326,3450,60
18.704,-87.704,262.15,300.88,12.5,4,0.51,172.1822523,283.94,0,314.8534301,3450,60
20.038,-87.466,301.38,300.78,10.25,4,0.1,29.56953691,283.94,0,464.4431046,3450,60
18.635,-87.722,262.15,300.87,4.6,5,1.06,180.0767632,283.94,0,307.1182386,3450,60
17.623,-63.22,301.84,300.42,14,4,0.15,71.07565074,331.22,0,27.03720334,16800,60
24.3655,54.1008,302.88,300.76,4,3,0.68,94.38307356,61.46,0,270.1331618,32000000,60
18.374,-64.934,301.22,300.34,11,6,1.3,183.239237,366.17,0,3.536208119,50400,60
18.263,-64.872,301.82,300.4,22,4,2.53,196.9170418,366.17,0,4.496808274,12,60
18.319,-64.836,300.17,300.36,10,3,0.55,194.6210499,366.17,0,4.254557647,12,60
25.966,-80.114,300.89,299.75,5.6,7,0.44,183.7115437,359.44,0,0.305472482,4000,60
17.787,-64.604,299.17,300.38,12.19,7,-0.29,214.3977674,435.4,0,4.093769387,15,60
25.423,-80.151,302.43,299.83,2.55,3,0.67,194.3475693,408.45,0,2.653612106,3000,60.4
18.263,-64.872,299.12,300.4,3.5,7,-0.31,196.9170418,366.17,0,4.496808274,12,60.5
18.718,-87.693,299.45,300.88,8.55,6,-0.34,170.3601572,283.94,0,316.4553236,3450,60.9
18.313,-64.861,301.82,300.36,7,4,1.68,193.3969024,366.17,0,1.639422521,12,60.9
17.899,-62.877,301.6,300.27,11,5,1.49,56.48536142,331.22,0,21.77965706,100,61
14.447,-60.905,299.41,300.37,12,8,0.19,130.3458724,130.93,0,287.2978417,3450,61
17.762,-64.699,300.25,300.4,9,9,0.46,208.0214356,435.4,0,0.574732708,5000,61
25.365,-80.189,300.73,299.75,4.05,8,1.06,198.1286668,408.45,0,8.94873509,3000,61.3
18.634,-87.719,262.15,300.87,9.1,5,1.06,180.0937913,283.94,0,307.0177018,3450,61.5
19.967,-87.453,262.15,300.81,10.8,4,0.6,33.6722716,283.94,0,456.6883114,3450,61.5
19.967,-87.453,262.15,300.81,9.95,6,-1.19,33.6722716,283.94,0,456.6883114,3450,61.5
19.973,-87.453,262.15,300.81,17.6,4,0.6,33.19050347,283.94,0,457.3530558,3450,61.5
15.255,-61.261,262.15,300.4,3.5,7,0.11,62.56925643,130.93,0,192.7357644,3450,61.8
18.72,-87.698,299.45,300.88,14.5,6,-0.34,170.2967001,283.94,0,316.6559552,3450,61.8
18.704,-87.704,262.15,300.88,9.6,7,-1.51,172.1822523,283.94,0,314.8534301,3450,61.9
18.704,-87.704,262.15,300.88,9.8,7,-1.51,172.1822523,283.94,0,314.8534301,3450,61.9
18.704,-87.702,262.15,300.88,15.85,4,0.91,172.1220237,283.94,0,314.8615691,3450,61.9
18.295,-64.868,262.15,300.38,18,7,1.09,194.4459548,366.17,0,1.06674268,12,61.9
24.618,-81.19,302.59,299.89,7.6,4,0.89,217.7896383,275.27,0,10.99812055,3450,61.9
7.07,171.295,301.43,301.51,1,4,-0.91,187.5465766,424.9,0,439.3706581,11610,62
25.362,-80.154,302.44,299.86,5.85,3,0.82,194.6161585,408.45,0,7.160064644,3000,62.3
23.71,-76.076,299.48,299.83,3.12,6,1.3,67.14814052,481.07,0,182.3697247,1550000,62.5
23.831,-76.198,299.84,299.83,3.65,6,0.49,85.33947775,481.07,0,167.607386,1550000,62.5
