Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Percent_Bleaching
19.88,-87.412,302.32,300.83,20.1,3.0,0.16,38.99984639882297,283.94,55.6
11.307,-60.632,300.18,300.42,12.0,6.0,-0.36,159.99093893748983,376.86,55.6
17.786,-64.586,301.22,300.38,10.7,6.0,0.01,215.05825559651075,435.4,55.6
20.052,-87.466,301.38,300.78,6.1,4.0,0.71,28.725502922806164,283.94,55.9
19.275,-81.349,301.03,301.11,12.0,3.0,-0.17,85.3198595480631,25.47,56.0
15.262,-61.271,262.15,300.4,12.5,6.0,0.12,62.90496452848816,130.93,56.0
18.707,-87.704,262.15,300.88,15.0,6.0,-0.24,171.862675974647,283.94,56.0
11.193,-60.826,300.3,300.49,12.0,6.0,-1.23,184.26809894589465,376.86,56.0
17.762,-64.699,300.25,300.4,9.0,9.0,0.46,208.02143560808122,435.4,56.0
18.66,-87.709,262.15,300.87,10.1,7.0,-1.84,177.02292991914655,283.94,56.3
19.967,-87.453,262.15,300.81,9.45,5.0,-0.15,33.67227159511623,283.94,56.3
25.008,-80.424,300.9,299.8,4.0,7.0,0.0,225.71018357895716,408.45,56.3
18.681,-87.711,262.15,300.88,14.8,6.0,-0.34,174.84376815121934,283.94,56.4
17.762,-64.566,301.2,300.38,9.4,6.0,0.02,213.49371725176294,435.4,56.4
23.71,-76.076,299.48,299.83,3.12,6.0,1.3,67.14814052236032,481.07,56.5
23.142,-82.491,301.59,300.65,10.0,8.0,-0.59,62.971640483150146,275.27,56.6
11.199,-60.8,301.2,300.49,12.0,6.0,-0.65,181.38521906472354,376.86,56.7
18.707,-87.704,262.15,300.88,15.4,6.0,-0.38,171.862675974647,283.94,56.8
18.341,-65.082,301.24,300.41,8.0,6.0,-0.44,176.5523103790468,366.17,56.8
18.263,-64.872,301.82,300.4,22.0,4.0,2.53,196.9170418065331,366.17,56.8
17.5,-87.758,301.16,300.97,11.25,9.0,-0.98,123.70776485954606,465.85,56.9
